amount,amount_minor_units,currency_code,idempotency_key,merchant_id,parent_transaction_id,status,timestamp,transaction_id
203.45,20345,INR,idk_6fff8a2d3316,MERCHANT_115,,success,2026-05-05T04:50:00+00:00,cb382729-fbbc-48f8-86cd-888ad9aec8af
503.79,50379,INR,idk_33bcd7f07584,MERCHANT_102,,success,2026-05-23T12:41:00+00:00,923285d5-fbfd-4199-a394-d3a2aa15f7c6
20433.59,2043359,INR,idk_b4a527c349f7,MERCHANT_080,,success,2026-05-07T08:13:00+00:00,0fdb777a-49a0-40b2-bf81-2bf1cbda04b2
2378.45,237845,INR,idk_7bbcbe212e15,MERCHANT_275,,success,2026-05-04T04:42:00+00:00,4c3b3e55-5595-450f-bc37-8721119119bd
671.05,67105,INR,idk_b0d0ea708b6c,MERCHANT_117,,success,2026-05-25T05:01:00+00:00,7f4f39d4-f8a7-4697-9963-d707197f6450
864.56,86456,INR,idk_37533a0f5b7d,MERCHANT_182,,success,2026-05-07T08:51:00+00:00,f3c53f5e-1db7-44d4-9123-5b8796a90285
532.0,53200,INR,idk_bc1bab51e15e,MERCHANT_237,,success,2026-05-13T06:51:00+00:00,9fad941b-cb8a-4a4f-9b0c-35d69025eb7d
11572.57,1157257,INR,idk_7bbce06d121e,MERCHANT_109,,success,2026-05-30T08:20:00+00:00,4eb3bdac-e973-4aeb-b056-bcbfe7865b16
325.8,32580,INR,idk_f670d90b41ef,MERCHANT_288,,success,2026-05-18T06:44:00+00:00,6cef1344-d0ad-4bd4-bc88-bce2f23fd3bd
118.7,11870,INR,idk_a4ebea00db56,MERCHANT_406,,success,2026-05-22T10:11:00+00:00,c2804a4a-8521-4f6d-ba3b-29446997d7c8
856.79,85679,INR,idk_6f00cd195fea,MERCHANT_137,,success,2026-05-25T08:14:00+00:00,5f9b8ac1-b077-4c39-8f32-58bf21447f5c
232364.22,23236422,INR,idk_9f668e290e3b,MERCHANT_257,,success,2026-05-25T11:05:00+00:00,7e491e50-72e6-4400-9c67-0cbff16de172
258.42,25842,INR,idk_1be5911ce134,MERCHANT_083,,success,2026-05-18T11:05:00+00:00,46dc2660-2c65-4dba-a3b9-c49ca0eaa77d
869.74,86974,INR,idk_b428dd5ded06,MERCHANT_124,,success,2026-05-29T04:12:00+00:00,76ad12f1-0134-499f-8874-a235358bfd9f
110.51,11051,INR,idk_2a576840ebda,MERCHANT_485,,success,2026-05-18T08:40:00+00:00,d731ec1a-0a74-44d2-b766-f25dbd4d4417
303884.47,30388447,INR,idk_ed049d67e90f,MERCHANT_366,,success,2026-05-10T08:48:00+00:00,4174ef13-3a50-4fdc-a6b1-6ec7ac775d37
282.53,28253,INR,idk_88fba962bd20,MERCHANT_302,,success,2026-05-18T10:21:00+00:00,f000cb28-ff7e-405a-8f21-650813c40551
230.83,23083,INR,idk_70f109fd1a7a,MERCHANT_343,,success,2026-05-16T10:15:00+00:00,38ccbc3e-289f-45a2-bd08-6c58dd454328
3803.82,380382,INR,idk_2fe525fd426a,MERCHANT_098,,success,2026-05-04T03:34:00+00:00,686436b5-be00-48fe-b0d2-347fcf740f31
906.73,90673,INR,idk_c7642b103778,MERCHANT_032,,success,2026-05-13T08:58:00+00:00,839eafeb-0d14-4b81-a73d-65cb771f58c8
273.09,27309,INR,idk_2ea6b34c90be,MERCHANT_237,,success,2026-05-08T09:58:00+00:00,7ae67061-49e1-4329-a0d7-3cc03d3420d1
15649.73,1564973,INR,idk_b02038ef4092,MERCHANT_048,,success,2026-05-30T05:33:00+00:00,39360197-f1fb-4435-82ea-44b4c22d3f0e
211202.13,21120213,INR,idk_9f8b86152615,MERCHANT_357,,success,2026-05-31T10:49:00+00:00,e3e256cb-fac5-4e65-bd91-d00318ae9c37
